66,CCCCCC[N+]1=CN(C)C=C1.F[P-](F)(F)(F)(F)F,66
67,CCCCCC[N+]1=CN(C)C=C1.[S-]C#N,67
68,CCCCCC[N+]1=CN(C)C=C1.N#C[B-](C#N)(C#N)C#N,68
69,CCCCCC[N+]1=CN(C)C=C1.[O-]C(=O)C(F)(F)F,69
70,CCCCCCCCN1C=C[N+](C)=C1.F[B-](F)(F)F,70
71,CCCCCCCCN1C=C[N+](C)=C1.[Cl-],71
72,CCCCCCCCN1C=C[N+](C)=C1.[O-][N+]([O-])=O,72
73,CCCCCCCCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,73
74,CCCCCCCCN1C=C[N+](C)=C1.[O-]S(=O)(=O)C(F)(F)F,74
75,CCCCCCCCN1C=C[N+](C)=C1.F[P-](F)(F)(F)(F)F,75
76,CCCCCCCCN1C=C[N+](C)=C1.COCCOCCOS([O-])(=O)=O,76
77,CCCCCCCCCCN1C=C[N+](C)=C1.F[B-](F)(F)F,77
78,CCCCCCCCCCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,78
79,CCCCCCCCCCN1C=C[N+](C)=C1.N#C[B-](C#N)(C#N)C#N,79
80,CCCCCCCCCCCCN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,80
81,CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1.F[B-](F)(F)F,81
82,C[N+]1=CN(CC2CCCCC2)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,82
83,CCCOC[N+]1=CN(C)C=C1.F[B-](F)(F)F,83
84,CCCOC[N+]1=CN(C)C=C1.N#C[N-]C#N,84
85,CCCOC[N+]1=CN(C)C=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,85
86,CCCOC[N+]1=CN(CC2=CC=CC=C2)C=C1.F[B-](F)(F)F,86
